Date,PlotID,Depth_relative,Temperature,Volumetric_water_content
11/18/2018,221,Deep,9.672308,0.09163008
11/18/2018,322,Deep,9.415818,0.11508
11/18/2018,321,Deep,9.342662,0.1321899
11/18/2018,621,Deep,9.268405,0.1033759
11/18/2018,121,Deep,9.141169,0.09857813
11/18/2018,232,Deep,8.77,0.02423286
11/18/2018,622,Deep,8.524295,0.1002928
11/18/2018,222,Deep,8.423846,0.1026408
11/18/2018,632,Deep,8.422269,0.03340223
11/18/2018,122,Deep,7.613935,0.1404244
11/18/2018,221,Shallow,7.476462,0.08013317
11/18/2018,331,Deep,7.459511,0.02702967
11/18/2018,621,Shallow,7.450122,0.07003455
11/18/2018,231,Deep,7.354077,0.01556628
11/18/2018,122,Shallow,7.277804,0.09714743
11/18/2018,131,Deep,7.139548,0.02102598
11/18/2018,622,Shallow,7.129596,0.06198119
11/18/2018,631,Deep,7.114134,0.02168543
11/18/2018,321,Shallow,6.963037,0.07575704
11/18/2018,121,Shallow,6.850509,0.09261921
11/18/2018,322,Shallow,6.812236,0.07398486
11/18/2018,222,Shallow,6.702,0.08098311
11/18/2018,112,Deep,6.214381,0.1043389
11/18/2018,611,Deep,6.18268,0.1123671
11/18/2018,332,Deep,5.812829,0.02160507
11/18/2018,311,Deep,5.765955,0.07523382
11/18/2018,132,Deep,5.680685,0.06582524
11/18/2018,111,Deep,5.577791,0.09589624
11/18/2018,211,Deep,5.575231,0.07528697
11/18/2018,212,Deep,5.544308,0.09919651
11/18/2018,612,Deep,5.396096,0.07160556
11/18/2018,312,Deep,4.851459,0.1011406
11/18/2018,112,Shallow,4.076333,0.08596641
11/18/2018,131,Shallow,3.899219,0.02464213
11/18/2018,212,Shallow,3.854923,0.06426797
11/18/2018,331,Shallow,3.793873,0.02179162
11/18/2018,632,Shallow,3.661527,0.02546557
11/18/2018,211,Shallow,3.596308,0.08953809
11/18/2018,631,Shallow,3.534422,0.0514392
11/18/2018,611,Shallow,3.38355,0.06753165
11/18/2018,311,Shallow,3.236301,0.07334996
11/18/2018,111,Shallow,3.205772,0.04750623
11/18/2018,132,Shallow,3.069077,0.03364595
11/18/2018,232,Shallow,2.948385,0.02575132
11/18/2018,332,Shallow,2.904779,0.02390861
11/18/2018,612,Shallow,2.819921,0.07445142
11/18/2018,312,Shallow,2.462546,0.06143169
11/18/2018,231,Shallow,1.784846,0.01909217
11/17/2018,221,Deep,9.114583,0.09175364
11/17/2018,322,Deep,8.919077,0.1152778
11/17/2018,221,Shallow,8.857792,0.08043229
11/17/2018,621,Deep,8.798167,0.1035914
