Date,PlotID,Species,PlantID,Greenness,Ambient_precipitation,Temperature,Volumetric_water_content,Biomass
3/10/2016,521, Achnatherum hymenoides,204,5,1.4,23.7769,0.02589964,-1
3/23/2016,521, Achnatherum hymenoides,204,30,1.5,26.73108,0.02598201,-1
4/5/2016,521, Achnatherum hymenoides,204,40,15.1,14.22883,0.09601395,-1
4/18/2016,521, Achnatherum hymenoides,204,50,2.6,14.25791,0.09007411,-1
5/2/2016,521, Achnatherum hymenoides,204,70,6,17.72587,0.08267763,-1
5/16/2016,521, Achnatherum hymenoides,204,60,5.4,16.00552,0.07163686,-1
5/31/2016,521, Achnatherum hymenoides,204,70,0.2,22.62569,0.05724622,-1
6/13/2016,521, Achnatherum hymenoides,204,65,4.2,20.97249,0.0536594,-1
6/27/2016,521, Achnatherum hymenoides,204,65,3.4,18.77517,0.05119598,-1
7/11/2016,521, Achnatherum hymenoides,204,60,17.5,17.09284,0.04955236,-1
7/25/2016,521, Achnatherum hymenoides,204,55,15.6,16.30455,0.04951064,-1
8/8/2016,521, Achnatherum hymenoides,204,55,15.6,16.30455,0.04951064,-1
8/22/2016,521, Achnatherum hymenoides,204,15,0.1,11.9372,0.0470019,-1
9/6/2016,521, Achnatherum hymenoides,204,25,1.3,7.879467,0.04400036,-1
9/19/2016,521, Achnatherum hymenoides,204,0,0.7,6.853548,0.04365206,-1
10/3/2016,521, Achnatherum hymenoides,204,5,12.9,6.293859,0.0423201,-1
10/24/2016,521, Achnatherum hymenoides,204,0,3,6.700675,0.04245074,-1
11/18/2016,521, Achnatherum hymenoides,204,0,30.5,4.507595,0.04146403,-1
11/30/2016,521, Achnatherum hymenoides,204,0,19.8,11.3553,0.04511036,-1
12/13/2016,521, Achnatherum hymenoides,204,0,13.5,12.3523,0.04562727,-1
1/6/2017,521, Achnatherum hymenoides,204,0,13.5,12.3523,0.04562727,-1
2/8/2017,521, Achnatherum hymenoides,204,0,0.9,9.135523,0.04407397,-1
2/22/2017,521, Achnatherum hymenoides,204,0,0.9,9.135523,0.04407397,-1
3/7/2017,521, Achnatherum hymenoides,204,0,3.4,18.62302,0.04903272,-1
