Date,PlotID,Species,PlantID,Greenness,Ambient_precipitation,Temperature,Volumetric_water_content,Biomass
3/10/2016,111, Achnatherum hymenoides,107,15,0.2,9.643577,0.1063533,-1
3/23/2016,111, Achnatherum hymenoides,107,45,4.2,12.02807,0.1006656,-1
4/5/2016,111, Achnatherum hymenoides,107,40,3.4,14.08409,0.09572252,-1
4/18/2016,111, Achnatherum hymenoides,107,33,17.5,12.82923,0.08933591,-1
5/2/2016,111, Achnatherum hymenoides,107,35,15.6,14.37487,0.08420591,-1
5/16/2016,111, Achnatherum hymenoides,107,70,0.1,20.9468,0.08304156,-1
5/31/2016,111, Achnatherum hymenoides,107,60,1.3,20.79446,0.075801,-1
6/13/2016,111, Achnatherum hymenoides,107,30,0.7,27.47152,0.06515525,-1
6/27/2016,111, Achnatherum hymenoides,107,25,12.9,29.23609,0.05517721,-1
7/11/2016,111, Achnatherum hymenoides,107,75,3,27.55714,0.0487583,-1
7/25/2016,111, Achnatherum hymenoides,107,20,30.5,30.49209,0.04631387,-1
8/8/2016,111, Achnatherum hymenoides,107,70,19.8,31.2565,0.04295753,-1
8/22/2016,111, Achnatherum hymenoides,107,10,13.5,28.62359,0.04381124,-1
9/6/2016,111, Achnatherum hymenoides,107,15,0.9,23.75445,0.0432823,-1
9/19/2016,111, Achnatherum hymenoides,107,45,3.4,24.39311,0.04343338,-1
10/3/2016,111, Achnatherum hymenoides,107,25,0,21.67662,0.03948479,-1
10/24/2016,111, Achnatherum hymenoides,107,5,9.5,18.20906,0.03678611,-1
11/18/2016,111, Achnatherum hymenoides,107,0,1.6,19.6132,0.03635648,-1
11/30/2016,111, Achnatherum hymenoides,107,0,9.4,16.94209,0.03478316,-1
12/13/2016,111, Achnatherum hymenoides,107,0,0.1,11.86918,0.03263226,-1
1/6/2017,111, Achnatherum hymenoides,107,0,0.1,11.86918,0.03263226,-1
2/8/2017,111, Achnatherum hymenoides,107,0,16,6.035014,0.03005609,-1
2/22/2017,111, Achnatherum hymenoides,107,5,16,6.035014,0.03005609,-1
3/7/2017,111, Achnatherum hymenoides,107,20,6.8,1.694694,0.02752924,-1
3/21/2017,111, Achnatherum hymenoides,107,30,10.5,1.34309,0.0271922,-1
4/4/2017,111, Achnatherum hymenoides,107,35,0,2.648878,0.02760611,-1
4/18/2017,111, Achnatherum hymenoides,107,80,9.1,3.258884,0.02950067,-1
5/3/2017,111, Achnatherum hymenoides,107,80,7.7,0.5181972,0.03277624,-1
5/16/2017,111, Achnatherum hymenoides,107,75,0,8.960372,0.04203829,-1
5/30/2017,111, Achnatherum hymenoides,107,80,7.5,5.530694,0.0466635,-1
6/13/2017,111, Achnatherum hymenoides,107,70,0,9.519945,0.05246459,-1
6/27/2017,111, Achnatherum hymenoides,107,65,2.7,15.05341,0.05916361,-1
7/11/2017,111, Achnatherum hymenoides,107,50,13.7,12.14375,0.05740445,-1
7/27/2017,111, Achnatherum hymenoides,107,50,0,17.88595,0.05580175,-1
8/8/2017,111, Achnatherum hymenoides,107,70,0,16.79141,0.04652263,-1
8/23/2017,111, Achnatherum hymenoides,107,70,0,21.31466,0.04200986,-1
9/5/2017,111, Achnatherum hymenoides,107,60,14.4,22.51749,0.04171543,-1
9/19/2017,111, Achnatherum hymenoides,107,60,39.8,26.56021,0.0407337,-1
