WHO_REGION,COUNTRY_NAME,COUNTRY_CODE,ISO_YEAR,ISO_WEEK,ISO_START_DATE,SEX,AGEGROUP,AGEGROUP_NUM,DAILY_CASES,DAILY_CASES_DEATHS,DETAILED_CASES,DETAILED_CASES_DEATHS,DETAILED_CASES_CONFIRMED,DETAILED_CASES_DEATHS_CONFIRMED,DETAILED_CASES_PROBABLE,DETAILED_CASES_DEATHS_PROBABLE,DETAILED_CASES_HOSPITALISED,DETAILED_CASES_HW,DETAILED_CASES_DEATHS_HW,DETAILED_CASES_DISCHARGED,PERSONS_TESTED,PERSONS_TESTED_PCR,DAILY_DS,DETAILED_CASES_DS,DETAILED_CASES_DEATHS_DS,DETAILED_CASES_HOSPITALISED_DS,DETAILED_CASES_HW_DS,TEST_DS,LASTUPDATED_UTC
WPR,China,CHN,2020,1,2019-12-29T16:00:00.000Z,All,All,0,1,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,2,2020-01-05T16:00:00.000Z,All,All,0,44,1,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,3,2020-01-12T16:00:00.000Z,All,All,0,80,2,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,4,2020-01-19T16:00:00.000Z,All,All,0,1860,53,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,5,2020-01-26T16:00:00.000Z,All,All,0,12426,305,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,6,2020-02-02T16:00:00.000Z,All,All,0,22840,544,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,7,2020-02-09T16:00:00.000Z,All,All,0,31333,862,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,8,2020-02-16T16:00:00.000Z,All,All,0,8458,679,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,9,2020-02-23T16:00:00.000Z,All,All,0,2926,427,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,10,2020-03-01T16:00:00.000Z,All,All,0,891,228,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,11,2020-03-08T16:00:00.000Z,All,All,0,189,103,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,12,2020-03-15T16:00:00.000Z,All,All,0,450,63,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,13,2020-03-22T16:00:00.000Z,All,All,0,843,39,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,14,2020-03-29T16:00:00.000Z,All,All,0,589,32,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,15,2020-04-05T16:00:00.000Z,All,All,0,552,11,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,16,2020-04-12T16:00:00.000Z,All,All,0,719,1293,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,17,2020-04-19T16:00:00.000Z,All,All,0,137,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,18,2020-04-26T16:00:00.000Z,All,All,0,55,1,50,,50,,,,50,,,292,,,DAILY,WEEKLY,,WEEKLY,,,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,19,2020-05-03T16:00:00.000Z,All,All,0,37,0,38,,38,,,,38,,,378,5122308,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,20,2020-05-10T16:00:00.000Z,All,All,0,54,2,36,1,36,1,,,36,,,94,6157197,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,21,2020-05-17T16:00:00.000Z,All,All,0,41,0,31,,31,,,,31,,,30,11762438,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,22,2020-05-24T16:00:00.000Z,All,All,0,45,0,32,,32,,,,32,,,39,9370484,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,23,2020-05-31T16:00:00.000Z,All,All,0,59,0,25,,25,,,,25,,,34,6894050,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,24,2020-06-07T16:00:00.000Z,All,All,0,100,0,141,,141,,,,141,,,29,6188109,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,25,2020-06-14T16:00:00.000Z,All,All,0,268,1,215,,215,,,,215,,,43,10856498,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,26,2020-06-21T16:00:00.000Z,All,All,0,193,2,116,,116,,,,116,,,47,13883822,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,27,2020-06-28T16:00:00.000Z,All,All,0,116,0,45,,45,,,,45,,,58,12819763,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,28,2020-07-05T16:00:00.000Z,All,All,0,216,0,45,,45,,,,45,,,130,8421792,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,29,2020-07-12T16:00:00.000Z,All,All,0,415,5,80,,80,,,,80,,,151,8194926,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,30,2020-07-19T16:00:00.000Z,All,All,0,902,6,209,,209,,,,209,,,119,12166659,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,31,2020-07-26T16:00:00.000Z,All,All,0,1463,15,537,,537,,,,537,,,95,18177776,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,32,2020-08-02T16:00:00.000Z,All,All,0,847,14,240,,240,,,,240,,,219,20227960,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,33,2020-08-09T16:00:00.000Z,All,All,0,612,22,181,,181,,,,181,,,371,18105542,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,34,2020-08-16T16:00:00.000Z,All,All,0,380,7,118,,118,,,,118,,,322,15396884,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,35,2020-08-23T16:00:00.000Z,All,All,0,210,11,81,,81,,,,81,,,252,18606707,,DAILY,WEEKLY,,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,China,CHN,2020,36,2020-08-30T16:00:00.000Z,All,All,0,166,7,86,,86,,0,,86,0,0,143,14243508,14243508,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,37,2020-09-06T16:00:00.000Z,All,All,0,149,6,63,,60,,3,,63,0,0,95,13163123,13163123,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,38,2020-09-13T16:00:00.000Z,All,All,0,174,3,98,,97,,1,,98,0,0,69,13097583,13097583,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,39,2020-09-20T16:00:00.000Z,All,All,0,126,2,81,,81,,0,,81,0,0,69,12484970,12484970,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,40,2020-09-27T16:00:00.000Z,All,All,0,155,0,104,,98,,6,,104,0,0,75,9523510,9523510,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,41,2020-10-04T16:00:00.000Z,All,All,0,184,0,114,,108,,6,,114,0,0,86,14298871,14298871,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,42,2020-10-11T16:00:00.000Z,All,All,0,184,0,110,,107,,3,,110,0,0,88,20202539,20202539,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,43,2020-10-18T16:00:00.000Z,All,All,0,185,0,131,,125,,6,,131,0,0,109,16893533,16893533,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,44,2020-10-25T16:00:00.000Z,All,All,0,247,0,212,,211,,1,,212,0,0,113,31551792,31551792,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,45,2020-11-01T16:00:00.000Z,All,All,0,274,2,229,,224,,5,,229,0,0,163,35222450,35222450,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
WPR,China,CHN,2020,46,2020-11-08T16:00:00.000Z,All,All,0,233,1,104,,101,,3,,104,0,,151,28027791,28027791,DAILY,WEEKLY_V2,,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,2021-10-28T08:19:00.000Z
