WHO_REGION,COUNTRY_NAME,COUNTRY_CODE,ISO_YEAR,ISO_WEEK,ISO_START_DATE,SEX,AGEGROUP,AGEGROUP_NUM,DAILY_CASES,DAILY_CASES_DEATHS,DETAILED_CASES,DETAILED_CASES_DEATHS,DETAILED_CASES_CONFIRMED,DETAILED_CASES_DEATHS_CONFIRMED,DETAILED_CASES_PROBABLE,DETAILED_CASES_DEATHS_PROBABLE,DETAILED_CASES_HOSPITALISED,DETAILED_CASES_HW,DETAILED_CASES_DEATHS_HW,DETAILED_CASES_DISCHARGED,PERSONS_TESTED,PERSONS_TESTED_PCR,DAILY_DS,DETAILED_CASES_DS,DETAILED_CASES_DEATHS_DS,DETAILED_CASES_HOSPITALISED_DS,DETAILED_CASES_HW_DS,TEST_DS,LASTUPDATED_UTC
EUR,Italy,ITA,2020,1,2019-12-29T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Italy,ITA,2020,2,2020-01-05T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Italy,ITA,2020,3,2020-01-12T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Italy,ITA,2020,4,2020-01-19T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Italy,ITA,2020,5,2020-01-26T16:00:00.000Z,All,All,0,3,0,2,,2,,,,3,,,,,,DAILY,WEEKLY_V2,,CRF,,,2022-04-29T20:26:33.000Z
EUR,Italy,ITA,2020,6,2020-02-02T16:00:00.000Z,All,All,0,0,0,1,,1,,,,1,,,,,,DAILY,WEEKLY_V2,,CRF,,,2022-04-29T20:26:33.000Z
EUR,Italy,ITA,2020,7,2020-02-09T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2022-04-25T20:31:13.000Z
EUR,Italy,ITA,2020,8,2020-02-16T16:00:00.000Z,All,All,0,76,2,175,8,175,8,,,474,18,,,,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,,2022-05-11T20:26:38.000Z
EUR,Italy,ITA,2020,9,2020-02-23T16:00:00.000Z,All,All,0,1049,27,1978,81,1978,81,,,2238,276,,,20457,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-04-29T20:26:33.000Z
EUR,Italy,ITA,2020,10,2020-03-01T16:00:00.000Z,All,All,0,4755,204,8243,676,8243,676,,,7083,912,1,,29132,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-24T20:24:40.000Z
EUR,Italy,ITA,2020,11,2020-03-08T16:00:00.000Z,All,All,0,15274,1208,21095,2401,21095,2401,,,12945,2977,8,,74304,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-10T20:29:02.000Z
EUR,Italy,ITA,2020,12,2020-03-15T16:00:00.000Z,All,All,0,32421,3384,36643,4767,36643,4767,,,18257,4565,19,,131459,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-24T20:24:40.000Z
EUR,Italy,ITA,2020,13,2020-03-22T16:00:00.000Z,All,All,0,38894,5198,36853,5935,36853,5935,,,15223,5111,18,,198678,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-17T04:35:47.000Z
EUR,Italy,ITA,2020,14,2020-03-29T16:00:00.000Z,All,All,0,32160,5339,30959,4789,30959,4789,,,9403,4383,15,,237431,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-17T04:35:47.000Z
EUR,Italy,ITA,2020,15,2020-04-05T16:00:00.000Z,All,All,0,27639,4106,28192,4124,28192,4124,,,6568,3577,13,,318732,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-24T20:24:40.000Z
EUR,Italy,ITA,2020,16,2020-04-12T16:00:00.000Z,All,All,0,23654,3759,20724,3440,20724,3440,,,4718,2438,8,,346348,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-24T20:24:40.000Z
EUR,Italy,ITA,2020,17,2020-04-19T16:00:00.000Z,All,All,0,19426,3157,16924,2621,16924,2621,,,3844,2309,5,,401118,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-17T04:35:47.000Z
EUR,Italy,ITA,2020,18,2020-04-26T16:00:00.000Z,All,All,0,13977,2326,11428,1968,11428,1968,,,2412,1503,3,,396113,,DAILY,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY_V2,WEEKLY,2022-06-24T20:24:40.000Z
