WHO_REGION,COUNTRY_NAME,COUNTRY_CODE,ISO_YEAR,ISO_WEEK,ISO_START_DATE,SEX,AGEGROUP,AGEGROUP_NUM,DAILY_CASES,DAILY_CASES_DEATHS,DETAILED_CASES,DETAILED_CASES_DEATHS,DETAILED_CASES_CONFIRMED,DETAILED_CASES_DEATHS_CONFIRMED,DETAILED_CASES_PROBABLE,DETAILED_CASES_DEATHS_PROBABLE,DETAILED_CASES_HOSPITALISED,DETAILED_CASES_HW,DETAILED_CASES_DEATHS_HW,DETAILED_CASES_DISCHARGED,PERSONS_TESTED,PERSONS_TESTED_PCR,DAILY_DS,DETAILED_CASES_DS,DETAILED_CASES_DEATHS_DS,DETAILED_CASES_HOSPITALISED_DS,DETAILED_CASES_HW_DS,TEST_DS,LASTUPDATED_UTC
EUR,Switzerland,CHE,2020,1,2019-12-29T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,2,2020-01-05T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,3,2020-01-12T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,4,2020-01-19T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,7,,DAILY,,,,,OWID,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,5,2020-01-26T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,160,,DAILY,,,,,OWID,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,6,2020-02-02T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,69,,DAILY,,,,,OWID,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,7,2020-02-09T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,1,,DAILY,,,,,OWID,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,8,2020-02-16T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
EUR,Switzerland,CHE,2020,9,2020-02-23T16:00:00.000Z,All,All,0,45,0,57,,57,,,,1,,,,1853,,DAILY,WEEKLY_V2,,CRF,,OWID,2022-07-01T20:25:36.000Z
EUR,Switzerland,CHE,2020,10,2020-03-01T16:00:00.000Z,All,All,0,320,2,377,3,377,3,,,,,,,4796,,DAILY,WEEKLY_V2,WEEKLY_V2,,,OWID,2022-06-29T20:26:38.000Z
EUR,Switzerland,CHE,2020,11,2020-03-08T16:00:00.000Z,All,All,0,2008,18,2265,25,2265,25,,,,,,,23620,,DAILY,WEEKLY_V2,WEEKLY_V2,,,OWID,2021-10-14T21:34:55.000Z
